"","Vaskess.Bay","South.Lagoon","Lagoon.Face","North.Lagoon","North.Shore","Bay.of.Wrecks","all.regions"
"meandiff",-0.0188621745731525,0.0110394867895364,-0.00832366075519569,0.0152755701914375,-0.00528631408882885,0.00894045671017547,0.000463894045662056
"maxdiff",0.231740364120373,0.296802605092594,0.213778590972222,0.196805702199075,0.231145080092595,0.238844412962965,0.296802605092594
"mindiff",-0.203005677083333,-0.331843307870368,-0.253120668287039,-0.241978852546293,-0.161474357175926,-0.275251243981483,-0.331843307870368
